investment_id,capex_meuro,uncertainty_pct,opex_meuro_per_year,project_url
1460,350.0,+-10%,2.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/240
1531,7.9,,0.01,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1278,11.0,,0.0141,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1530,13.7,,0.0176,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1276,26.0,,0.033,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1277,14.07,,0.018,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1279,10.375,,0.0133,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
194,1605.0,,54.57,https://tyndp-data.netlify.app/tyndp2018/projects/projects/242
1269,19.04,5%,0.0245,https://tyndp-data.netlify.app/tyndp2018/projects/projects/243
1245,60.0,10%,0.48,https://tyndp-data.netlify.app/tyndp2018/projects/projects/244
1514,60.0,10%,0.48,https://tyndp-data.netlify.app/tyndp2018/projects/projects/244
1246,35.0,+/- 10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/245
1381,1400.0,10%,29.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/247
1248,1605.0,+-10%,54.57,https://tyndp-data.netlify.app/tyndp2018/projects/projects/248
1627,1236.0,+-10%,49.94,https://tyndp-data.netlify.app/tyndp2018/projects/projects/248
1613,1461.0,+-10%,49.67,https://tyndp-data.netlify.app/tyndp2018/projects/projects/248
1384,90.0,,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/250
147,160.0,+-10%,1.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/251
148,230.0,+-10%,1.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/251
1050,140.0,25%,0.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1456,120.0,25%,0.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1515,150.0,25%,0.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1517,80.0,25%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1516,110.0,25%,0.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1224,45.0,10%,0.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/253
1225,15.0,10%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/253
660,1070.0,10%,8.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/254
1251,37.75,10%,0.566,https://tyndp-data.netlify.app/tyndp2018/projects/projects/255
1455,37.75,10%,0.566,https://tyndp-data.netlify.app/tyndp2018/projects/projects/255
1252,0.0,,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/256
1529,,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/256
667,360.0,+-10%,2.9,https://tyndp-data.netlify.app/tyndp2018/projects/projects/258
1205,200.0,,0.818,https://tyndp-data.netlify.app/tyndp2018/projects/projects/259
1255,850.0,±10%,6.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/260
1257,60.0,10%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/262
1258,64.0,10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/263
1583,300.0,10%,1.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/263
1259,66.0,10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/264
1288,210.0,10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/264
1287,126.0,10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/264
1284,94.0,10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/264
1290,160.0,+/- 10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/265
1261,172.0,+/- 10 %,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/266
1285,30.0,+/- 10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/266
1286,310.0,+/- 10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/266
1262,660.0,+-10%,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/267
1228,0.7,,0.0105,https://tyndp-data.netlify.app/tyndp2018/projects/projects/269
1229,0.3,,0.0045,https://tyndp-data.netlify.app/tyndp2018/projects/projects/269
1214,8.0,10%,0.02,https://tyndp-data.netlify.app/tyndp2018/projects/projects/270
1215,10.0,10%,0.03,https://tyndp-data.netlify.app/tyndp2018/projects/projects/270
1211,1089.41,10%,3.26,https://tyndp-data.netlify.app/tyndp2018/projects/projects/270
1212,62.59,10%,2.72,https://tyndp-data.netlify.app/tyndp2018/projects/projects/270
1264,0.0,,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/271
1210,8.0,10%,0.17,https://tyndp-data.netlify.app/tyndp2018/projects/projects/276
1207,130.0,10%,2.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/276
1208,140.0,10%,2.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/276
1206,1192.0,10%,5.33,https://tyndp-data.netlify.app/tyndp2018/projects/projects/276
1008,100.0,25%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/280
1378,2680.0,8%,41.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/283
1430,16.0,"8% of the overall as the actual length is not confirmed, but the impact of this short cable on the overall project will be negligible",0.04,https://tyndp-data.netlify.app/tyndp2018/projects/projects/283
1619,1500.0,5.0,3.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/284
1383,906.0,,23.9,https://tyndp-data.netlify.app/tyndp2018/projects/projects/285
1385,396.0,+/-10%,8.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/286
1432,600.0,5%,40.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/293
1434,30.0,5%,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/293
1431,600.0,5%,40.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/293
1433,150.0,5%,7.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/293
1435,80.0,5%,6.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/293
1436,40.0,5%,2.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/293
1356,612.0,+/- 15%,10.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/294
1437,2040.0,+/- 10%,20.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/296
605,15.0,5%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/297
445,100.0,5%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/297
604,60.0,25%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/297
1458,750.0,10.0,7.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/299
1628,1500.0,,22.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/309
1472,650.0,10%,4.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/312
1473,375.0,10.0,3.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/313
1617,56.0,,0.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/316
1615,44.0,,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/317
1614,35.0,,0.08,https://tyndp-data.netlify.app/tyndp2018/projects/projects/318
1558,132.5,+/- 5%,0.12,https://tyndp-data.netlify.app/tyndp2018/projects/projects/320
1475,221.0,10%,1.77,https://tyndp-data.netlify.app/tyndp2018/projects/projects/321
1476,58.0,10%,0.464,https://tyndp-data.netlify.app/tyndp2018/projects/projects/322
1477,106.0,10%,0.84,https://tyndp-data.netlify.app/tyndp2018/projects/projects/322
1478,16.0,7%,0.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/323
1482,24.0,7%,0.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/324
1483,210.0,10.0,0.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/325
1631,270.0,10.0,2.16,https://tyndp-data.netlify.app/tyndp2018/projects/projects/325
1636,175.0,10.0,1.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/325
1630,62.2,10%,0.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/328
1620,50.0,10%,0.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/328
1629,45.8,10%,0.36,https://tyndp-data.netlify.app/tyndp2018/projects/projects/328
1518,400.0,25%,0.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/329
1499,3.1,±10%,0.25,https://tyndp-data.netlify.app/tyndp2018/projects/projects/330
1498,83.2,±10%,0.37,https://tyndp-data.netlify.app/tyndp2018/projects/projects/330
1496,35.0,10%,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/333
1505,1310.0,"The Capex uncertainty range for this 525kV link covers -20% to +30%. This can be explained by the different costs which are registered for currently realized projects to connect offshore windfarms. This range can be explained by the project specific differences. Since there is no clarity on the project specifics in this phase of the project, the uncertainty range thereby reflects this.",4.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/335
