Inv_index,Tstart,Tstop,from,to,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
1011,2020.0,2024.0,3,4,60.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1011,2024.0,2026.0,4,5,60.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1012,2014.0,2015.0,1,2,132.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1012,2015.0,2020.0,2,3,132.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1012,2020.0,2024.0,3,5,132.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1013,2014.0,2015.0,1,2,244.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
1013,2015.0,2020.0,2,3,244.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
1013,2020.0,2024.0,3,4,244.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1013,2024.0,2026.0,4,4,244.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1014,2014.0,2026.0,3,3,165.0,DC,1000.0,400.0,DCTransmissionLine,CHE;ITA,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,0
1016,2014.0,2022.0,1,6,170.0,DC,600.0,400.0,OffshoreDCTransmissionCable,DEU;DNK,2.0,EU,Cross-border,New,Cable/Line,Offshore,1,0
1018,2014.0,2018.0,2,3,92.0,AC,0.0,380.0,ACTransmissionLine,DEU;DNK,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
1018,2018.0,2024.0,3,5,92.0,AC,0.0,380.0,ACTransmissionLine,DEU;DNK,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1020,2014.0,2016.0,2,6,,DC,500.0,320.0,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1021,2014.0,2016.0,2,6,,DC,1000.0,320.0,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1024,2014.0,2016.0,1,6,,DC,1000.0,320.0,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1025,2014.0,2016.0,1,6,,DC,1000.0,320.0,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1026,2014.0,2016.0,1,6,,DC,1000.0,320.0,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1027,2014.0,2016.0,1,6,,DC,1000.0,320.0,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1028,2014.0,2016.0,1,6,,DC,1000.0,320.0,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1029,2014.0,2016.0,1,6,,DC,1000.0,320.0,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1030,2014.0,2016.0,1,6,,DC,1000.0,320.0,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1031,2014.0,2016.0,1,6,,DC,1000.0,320.0,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1032,2014.0,2016.0,1,6,,DC,1000.0,320.0,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1033,2014.0,2016.0,3,6,650.0,DC,1400.0,500.0,Subsea Cable,NOR,1.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1034,2014.0,2018.0,1,2,330.0,AC,700.0,220.0,OnshoreACTransmissionCable,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
1034,2018.0,2020.0,2,3,330.0,AC,700.0,220.0,OnshoreACTransmissionCable,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1034,2020.0,2024.0,3,2,330.0,AC,700.0,220.0,OnshoreACTransmissionCable,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
