Inv_index,Duration,from,to,status,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element.type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
1453,2.0,1,6,2,,DC,,,Subsea Cable,IRL,1.0,EU,Cross-border,New,Cable/Line,Offshore,0,0
1454,2.0,1,6,2,,DC,,,Underground Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
1455,2.0,2,3,1,169.0,AC,,400.0,Overhead Line,,,Unknown,Internal,New,Cable/Line,Onshore,0,0
1455,2.0,3,6,2,169.0,AC,,400.0,Overhead Line,,,Unknown,Internal,New,Cable/Line,Onshore,0,1
1456,2.0,3,6,2,90.0,AC,,380.0,Overhead Line,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1457,4.0,1,6,2,,DC,,380.0,Overhead Line,CHE;DEU,2.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1458,8.0,3,4,1,410.0,DC,400.0,200.0,DCTransmissionLine,FRA;ITA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,0
1458,2.0,4,4,0,410.0,DC,400.0,200.0,DCTransmissionLine,FRA;ITA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1460,2.0,3,6,2,,AC,,380.0,Overhead Line,DEU,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,1
1472,2.0,3,4,1,128.0,AC,0.0,380.0,ACTransmissionLine,AUT,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1472,6.0,4,5,1,128.0,AC,0.0,380.0,ACTransmissionLine,AUT,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1473,8.0,3,3,0,90.0,AC,0.0,380.0,ACTransmissionLine,AUT;DEU,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1475,2.0,2,6,2,,AC,,380.0,Overhead Line,,,Unknown,Internal,New,Cable/Line,Onshore,0,1
1476,2.0,2,6,2,95.0,AC,0.0,380.0,ACTransmissionLine,AUT;CHE;DEU,3.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1477,2.0,2,6,2,,AC,,380.0,Overhead Line,AUT;DEU,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,1
1478,8.0,3,3,0,11.0,AC,0.0,110.0,ACTransmissionLine,ITA;SVN,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1482,8.0,3,3,0,22.5,AC,0.0,110.0,ACTransmissionLine,ITA;SVN,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1483,8.0,1,1,0,70.0,AC,0.0,380.0,ACTransmissionLine,AUT;SVN,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1485,2.0,2,6,2,,DC,,380.0,Subsea Cable,,,Unknown,Internal,New,Cable/Line,Offshore,0,1
1487,4.0,4,5,1,69.0,DC,1000.0,380.0,Underground Cable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1488,6.0,4,5,1,75.0,AC,0.0,380.0,ACTransmissionLine,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1490,2.0,2,3,1,32.0,AC,0.0,380.0,ACTransmissionLine,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,1
1490,2.0,3,4,1,32.0,AC,0.0,380.0,ACTransmissionLine,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1490,2.0,4,5,1,32.0,AC,0.0,380.0,ACTransmissionLine,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1493,8.0,4,5,1,0.0,AC,0.0,400.0,PhaseShiftingTransformer,DEU;POL,2.0,EU,Cross-border,Upgrade,Nodal Infrastructure,Onshore,1,1
1496,6.0,1,6,2,0.0,AC,0.0,220.0,PhaseShiftingTransformer,CHE,1.0,Extra-EU,Internal,New,Nodal Infrastructure,Onshore,1,1
1498,8.0,1,2,1,78.0,AC,0.0,400.0,ACTransmissionLine,CZE;SVK,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1499,8.0,2,2,0,0.0,AC,0.0,400.0,OnshoreSubstation,CZE;SVK,2.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1500,2.0,3,4,1,110.0,AC,,400.0,Overhead Line,HUN;SVK,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1500,2.0,4,5,1,110.0,AC,,400.0,Overhead Line,HUN;SVK,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1501,2.0,3,4,1,48.0,AC,,400.0,Overhead Line,HUN;SVK,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1501,2.0,4,5,1,48.0,AC,,400.0,Overhead Line,HUN;SVK,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1503,8.0,4,4,0,445.0,DC,600.0,500.0,OffshoreDCTransmissionCable,ITA;MNE,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
